	{華中}
⼽	戈
⼾	戶
⼿	手
⽂	文
⽄	斤
⽅	方
⽇	日
⽈	日
⽉	月
⽊	木
⽋	欠
⽌	止
⽎	殳
⽑	毛
⽓	气
⽔	水
⽕	火
⽖	爪
⽙	爿
⽚	片
⽛	牙
⽜	牛
⽝	犬
⽠	瓜
⽡	瓦
⽣	生
⽤	用
⽥	田
⽧	疒
⽨	癶
⽩	白
⽪	皮
⽫	皿
⽬	目
⽮	矢
⽯	石
⽰	示
⽲	禾
⽳	穴
⽴	立
⽵	竹
⽶	米
⽷	糸
⽸	缶
⽺	羊
⽽	而
⽿	耳
⾂	臣
⾃	自
⾄	至
⾅	臼
⾆	舌
⾈	舟
⾉	艮
⾌	虍
⾍	虫
⾒	見
⾔	言
⾗	豕
⾘	豸
⾙	貝
⾛	走
⾜	足
⾝	身
⾞	車
⾟	辛
⾠	辰
⾣	酉
⾥	里
⾦	金
⾧	長
⾨	門
⾪	隶
⾫	隹
⾬	雨
⾮	非
⾯	面
⾰	革
⾴	頁
⾵	風
⾶	飛
⾷	食
⾺	馬
⾻	骨
⾼	高
⾽	髟
⾾	鬥
⿁	鬼
⿂	魚
⿃	鳥
⿄	鹵
⿅	鹿
⿇	麻
⿊	黑
⿒	齒
〇	〇
〢	〢
〣	〣
コ	コ
ス	ス
ッ	⺍
マ	マ
ュ	ユ
ユ	ユ
リ	リ
ヰ	ヰ
㇀	一
㇁	丿
㇂	乚
㇃	丶
㇄	乚
㇅	乛
㇆	㇆
㇇	乛
㇈	乛
㇉	㇉
㇊	乁
㇋	𠄎
㇌	𠄎
㇍	乛
㇎	𠄎
㇏	乀
㇐	一
㇑	丨
㇒	丿
㇓	丿
㇔	丶
㇕	乛
㇖	乛
㇗	乚
㇘	亅
㇙	乚
㇚	亅
㇛	𡿨
㇜	乚
㇝	乀
㇞	乚
㇟	乚
㇠	乙
㇡	𠄎
㇢	亅
㇣	〇
㐄	ヰ
㐅	乂
㔾	㔾
䒑	䒑
䶹	屮
一	一
丁	丁
丂	丂
七	七
丄	丄
丅	丅
丆	丆
三	三
上	上
下	下
丌	丌
不	不
丑	丑
且	且
世	世
业	业
丨	丨
丩	丩
丬	丬
丰	丰
丱	丱
丶	丶
丷	丷
丿	丿
乀	乀
乁	乁
乂	乂
乃	乃
之	之
乌	乌
乙	乙
乚	乚
乛	乛
乜	乜
九	九
也	也
习	习
亅	亅
了	了
予	予
二	二
亍	亍
亠	亠
亡	亡
亥	亥
亦	亦
人	人
亻	亻
來	來
僉	僉
儿	儿
兀	兀
入	入
八	八
其	其
冂	冂
冊	冊
冎	冎
冖	冖
冫	冫
几	几
凵	凵
刀	刀
刂	刂
力	力
勹	勹
匕	匕
匚	匚
匸	匚
十	十
千	千
卄	卄
卅	卅
卌	卌
卜	卜
卝	卝
卩	卩
卯	卯
厂	厂
厶	厶
叀	叀
又	又
口	口
古	古
合	合
向	向
咼	咼
囗	囗
土	土
士	士
壬	壬
壴	壴
夂	夊
夊	夊
夕	夕
大	大
夫	夫
夭	夭
女	女
子	子
孑	子
宀	宀
寸	寸
小	小
尙	尚
尚	尚
尢	尢
尤	尤
尸	尸
屮	屮
山	山
巛	巛
巜	巜
川	川
工	工
己	己
已	已
巳	巳
巴	巴
巾	巾
干	干
幺	幺
广	广
廴	廴
廾	廾
弋	弋
弓	弓
彐	彐
彑	彑
彡	彡
彳	彳
心	心
忄	忄
戈	戈
戊	戊
戶	戶
户	户
戸	戸
手	手
扌	扌
攵	夊
文	文
斤	斤
方	方
日	日
早	早
曰	曰
曲	曲
月	月
木	木
朩	木
未	未
末	末
欠	欠
止	止
正	正
殳	殳
母	母
毛	毛
气	气
水	水
氵	氵
氺	水
火	火
灬	灬
烏	烏
爪	爪
爫	爫
爿	爿
片	片
牙	牙
牛	牛
牜	牛
犬	犬
犭	犭
王	王
瓜	瓜
瓦	瓦
生	生
用	用
甫	甫
田	田
由	由
甲	甲
申	申
电	电
甶	甶
疒	疒
癶	癶
白	白
皮	皮
皿	皿
目	目
矢	矢
石	石
示	示
礻	示
禺	禺
禾	禾
穴	穴
立	立
竹	竹
米	米
糸	糸
糹	糹
纟	纟
缶	缶
罒	罒
羊	羊
耂	耂
而	而
耳	耳
肀	肀
臣	臣
自	自
至	至
臼	臼
舌	舌
舟	舟
艮	艮
艹	艹
虍	虍
虎	虎
虫	虫
衤	衤
襾	襾
西	西
覀	覀
見	見
见	见
言	言
訁	言
讠	讠
豕	豕
豸	豸
貝	貝
贝	贝
走	走
足	足
身	身
車	車
车	车
辛	辛
辰	辰
辶	辶
酉	酉
里	里
金	金
釒	金
钅	钅
長	長
镸	镸
长	长
門	門
门	门
阝	阝
隶	隶
隹	隹
雨	雨
非	非
面	面
革	革
頁	頁
页	页
風	風
飛	飛
食	食
飠	食
饣	饣
馬	馬
马	马
骨	骨
高	高
髟	髟
鬥	鬥
鬼	鬼
魚	魚
鱼	鱼
鳥	鳥
鸟	鸟
鹵	鹵
鹿	鹿
麻	麻
黑	黑
齒	齒
龰	龰
龴	マ
龵	龵
龶	龶
龷	龷
龸	龸
	丰
	示
	龶
	𰀁
	舌
	干
	𰀁
	𬺰
	𦣞
	來
	卌
	七
	七
	七
	𰀄
	𦣝
	ヰ
	丌
	⺊
	片
	〢
	〣
	リ
	水
	龸
	尚
	𫩏
	电
	电
	冎
	月
	𫝀
	月
	𠂉
	千
	斤
	𰃦
	𫶧
	𰀪
	⺁
	儿
	儿
	卯
	𠂎
	𠂎
	𠂎
	𧘇
	夊
	𱼀
	𧰨
	乃
	亦
	高
	文
	𣎆
	リ
	⺶
	⺀
	八
	⺍
	⺍
	コ
	尸
	爿
	巳
	己
	ス
	マ
	マ
	厶
	水
車	車
金	金
來	來
鹿	鹿
不	不
辰	辰
女	女
力	力
了	了
里	里
立	立
見	見
兀	兀
屮	屮
爫	爫
艹	卝
艹	艹
辶	辶
𠀎	𠀎
𠁁	𠁁
𠁼	⺍
𠂆	⺁
𠂇	𠂇
𠂈	丩
𠂉	𠂉
𠂊	⺈
𠂎	𠂎
𠂒	⺧
𠂤	𠂤
𠂭	𠂭
𠃉	乚
𠃊	乚
𠃋	乚
𠃌	㇆
𠃍	乛
𠃑	㇉
𠃜	𠃜
𠄌	乚
𠄎	𠄎
𠄏	了
𠄔	予
𠄞	二
𠄟	二
𠄠	二
𠆢	人
𠕁	冊
𠘧	几
𠘨	几
𠙴	凵
𠤎	匕
𠥓	匚
𡈼	壬
𡗗	𡗗
𡭔	小
𡿨	𡿨
𢆉	𢆉
𢎗	弓
𢎜	弓
𣎆	𣎆
𣎳	木
𣥂	𣥂
𣥄	正
𤣩	王
𥫗	⺮
𦍌	⺷
𦣝	𦣝
𦣞	𦣞
𦥑	𦥑
𧘇	𧘇
𧰨	𧰨
𧾷	足
𨐋	辛
𩙿	食
𪛗	合
𪛙	一
𪛚	上
𪛜	工
𫜵	爫
𫜹	彐
𫝀	𫝀
𫠠	七
𫩏	𫩏
𫩠	尚
𫶧	𫶧
𬂛	十
𬺰	𬺰
𬼀	丷
𬼂	乚
𬼖	𰀄
𭕄	⺍
乁	乁
𠕋	冊
凵	凵
尢	尤
屮	屮
㠯	𠂤
廾	廾
王	王
豕	豕
麻	麻
𰀁	𰀁
𰀂	𰀄
𰀄	𰀄
𰀪	𰀪
𰁜	亦
𰃦	𰃦
𰆊	𰆊
𱍸	𱍸
𱤻	止
𱼀	𱼀
⻜	⺄{飞右}
⻬	文{介下}
⿏	臼{鼠下}
乍	𠂉{乍下}
乔	夭{介下}
井	二{介下}
亞	一{亞下}
介	人{介下}
呂	口{囟框}
夰	大{介下}
应	广{兴上}
弗	弓{介下}
氘	气{介下}
為	丶{爲下}
爲	爫{爲下}
畏	田{畏下}
直	十{具上}
雋	隹{雋下}
飞	⺄{飞右}
鼠	臼{鼠下}
齐	文{介下}
	丿{黽中}
呂	口{囟框}
直	十{具上}
𠁦	口{乍下}
𠂢	⺁{𠇊右}
𠂽	甶{畏下}
𠇊	亻{𠇊右}
𠕇	𠂇{冂丶}
𠳧	口{龍右}
𡊐	土{雋下}
𡕓	夊{介下}
𢀘	工{介下}
𢮛	扌{專上}
𣦶	一{互中}
𤣥	亠{纟上}
𤴮	疒{介下}
𤵑	疒{𠇊右}
𦝏	月{專上}
𧰶	豕{雋下}
𧱠	豕{龍右}
𩃘	雨{專上}
𩡬	馬{飞右}
𪽉	由{畏下}
𫞟	丷{爲下}
𫵎	尢{飞右}
𬽈	亠{具上}
𭁄	䒑{发左}
𮙥	豸{飞右}
𮫈	髟{鼠下}
直	十{具上}
𰀠	丨{飞右}
𰀢	〢{⺮右}
𰐰	彳{專上}
𰛅	亅{飞右}
丽	一{冂丶}{冂丶}
丽	一{冂丶}{冂丶}
𦭺	艹{发左}{发左}{发左}
咝	口{纟上}{纟上}一
彨	一{冂丶}{冂丶}彡
逦	一{冂丶}{冂丶}辶
郦	一{冂丶}{冂丶}阝
鬬	鬥{卬左}{亞下}斤
鹂	一{冂丶}{冂丶}鸟
𠁖	一{冂丶}{冂丶}丨
𡔅	爫{曾中}{曾中}土
𣱊	丅{介下}{卬左}丶
𪖃	臼{鼠下}{穀框}几
𫾲	一{冂丶}{冂丶}又
𰄭	一{冂丶}{冂丶}刂
𰴗	一{冂丶}{冂丶}见
𱍪	一{冂丶}{冂丶}殳
⻫	文{介下}二
⾚	土{介下}八
㒢	亻{龠上}冊
㓝	二{介下}刂
㔗	弓{介下}力
㖵	口{具上}八
㗒	口{京上}𧘇
㗫	口{祭上}示
㜖	女{曹上}日
㞴	山{卬左}七
㠙	山{亮上}豕
㡜	巾{祭上}示
㡟	巾{曹上}日
㡳	广{卬左}七
㥫	忄{京上}日
㧛	〢{⺮右}手
㧰	扌{乐上}小
㧸	扌{京上}了
㨃	扌{京上}子
㩝	扌{亮上}豕
㪄	弓{介下}夊
㪱	文{奐上}大
㬀	日{京上}子
㬇	日{奐上}大
㭡	木{囟框}乂
㰡	人{介下}欠
㰳	一{亞下}欠
㵸	氵{龠上}冊
㷚	火{亮上}丁
㷮	火{曹上}日
㹁	牛{京上}小
㹝	犭{卬左}七
㻮	王{祭上}示
㽡	田{卑上}十
㾎	疒{雋下}一
䀚	目{卬左}卩
䀥	目{乐上}小
䁁	目{京上}小
䁎	目{亮上}丁
䁣	目{專上}寸
䃄	石{京上}小
䄚	示{曹上}日
䄞	示{祭上}示
䇏	立{京上}子
䇑	立{卑上}十
䈞	⺮{京上}日
䉻	米{卬左}七
䊜	米{專上}寸
䏅	耳{祭上}示
䏆	耳{曹上}日
䐬	⺼{曹上}日
䐬	月{曹上}日
䒢	艹{卬左}卩
䛓	〢{⺮右}言
䛜	言{囟框}乂
䜊	言{曹上}日
䝶	貝{京上}小
䟑	走{龠上}冊
䟗	足{卬左}七
䠋	足{卑上}十
䠯	足{龠上}冊
䡟	車{卑上}十
䢝	一{亞下}辶
䣼	酉{京上}小
䤝	金{卬左}卩
䦄	钅{專上}𧘇
䧐	阝{京上}子
䧠	阝{專上}寸
䧥	阝{專上}心
䧫	阝{亮上}豕
䩕	革{卬左}卩
䭹	馬{卬左}卩
䰦	鬼{卑上}十
䱝	魚{卑上}十
䲬	鳥{卬左}七
䲸	人{介下}鳥
䶆	臼{鼠下}隹
临	〢{⺮右}𫩏
仰	亻{卬左}卩
俱	亻{具上}八
俾	亻{卑上}十
倞	亻{京上}小
停	亻{亮上}丁
偯	亻{京上}𧘇
傮	亻{曹上}日
傳	亻{專上}寸
傺	亻{祭上}示
僡	亻{專上}心
儫	亻{亮上}豕
凉	冫{京上}小
刜	弓{介下}刂
剂	文{介下}刂
哼	口{京上}了
啍	口{京上}子
啤	口{卑上}十
喚	口{奐上}大
喨	口{亮上}儿
喨	口{亮上}几
嘄	口{鳥上}木
嘈	口{曹上}日
噕	爫{爲下}口
嚎	口{亮上}豕
團	囗{專上}寸
坁	土{卬左}七
坓	二{介下}土
垇	土{雋下}一
埤	土{卑上}十
埧	土{具上}八
埻	土{京上}子
堊	一{亞下}土
塼	土{專上}寸
壕	土{亮上}豕
婛	女{京上}小
婢	女{卑上}十
婷	女{亮上}丁
嫥	女{專上}寸
寏	宀{奐上}大
察	宀{祭上}示
寭	宀{專上}心
岇	山{卬左}卩
崋	山{華中}十
崞	山{京上}子
崥	山{卑上}十
嵉	山{亮上}丁
嶆	山{曹上}日
庳	广{卑上}十
弴	弓{京上}子
弶	弓{京上}小
忯	忄{卬左}七
怎	𠂉{乍下}心
悙	忄{京上}了
惇	忄{京上}子
惊	忄{京上}小
惡	一{亞下}心
惧	忄{具上}八
惪	十{具上}心
愌	忄{奐上}大
慒	忄{曹上}日
慱	忄{專上}寸
憏	忄{祭上}示
憓	忄{專上}心
扺	扌{卬左}七
抑	扌{卬左}卩
捣	扌{鸟上}山
捭	扌{卑上}十
掠	扌{京上}小
換	扌{奐上}大
揨	扌{亮上}丁
搗	扌{鳥上}山
摖	扌{祭上}示
摶	扌{專上}寸
斉	文{介下}二
斎	文{介下}示
昂	日{卬左}卩
景	日{京上}小
晾	日{京上}小
暩	日{祭上}示
暷	日{專上}寸
曾	丷{曾中}日
朜	月{京上}子
枊	木{卬左}卩
栎	木{乐上}小
梈	木{京上}了
椁	木{京上}子
椇	木{具上}八
椋	木{京上}小
椑	木{卑上}十
楟	木{亮上}丁
槝	木{鳥上}山
槫	木{專上}寸
槽	木{曹上}日
橞	木{專上}心
檺	木{亮上}豕
毎	𠂉{母框}十
毐	士{母框}𠂇
毒	龶{母框}𠂇
汦	氵{卬左}七
汬	二{介下}水
泺	氵{乐上}小
涥	氵{京上}了
涼	氵{京上}小
淳	氵{京上}子
渊	氵{介下}米
渒	氵{卑上}十
渙	氵{奐上}大
渟	氵{亮上}丁
湸	氵{亮上}儿
湸	氵{亮上}几
湻	氵{京上}日
漈	氵{祭上}示
漕	氵{曹上}日
漙	氵{專上}寸
潓	氵{專上}心
濠	氵{亮上}豕
濲	氵{穀框}禾
瀹	氵{龠上}冊
烁	火{乐上}小
焞	火{京上}子
焷	火{卑上}十
煥	火{奐上}大
煷	火{亮上}儿
煷	火{亮上}几
爚	火{龠上}冊
爳	爫{爲下}了
牌	片{卑上}十
犉	牛{京上}子
犋	牛{具上}八
猄	犭{京上}小
猈	犭{卑上}十
琕	王{卑上}十
琼	王{京上}小
瑍	王{奐上}大
瑼	王{專上}寸
璤	王{專上}心
疧	疒{卬左}七
痺	疒{卑上}十
瘓	疒{奐上}大
瘵	疒{祭上}示
监	〢{⺮右}皿
監	臣{⺮右}皿
眂	目{卬左}七
真	十{具上}八
睥	目{卑上}十
砾	石{乐上}小
硇	石{囟框}乂
碑	石{卑上}十
碠	石{亮上}丁
磚	石{專上}寸
磜	石{祭上}示
祇	示{卬左}七
禆	示{卑上}十
禴	示{龠上}冊
秖	禾{卬左}七
稕	禾{京上}子
稗	禾{卑上}十
稤	禾{京上}小
穄	禾{祭上}示
穗	禾{專上}心
窗	穴{囟框}夊
竱	立{專上}寸
箄	⺮{卑上}十
篿	⺮{專上}寸
籇	⺮{亮上}豕
籥	⺮{龠上}冊
粺	米{卑上}十
糟	米{曹上}日
紙	糹{卬左}七
綡	糹{京上}小
綧	糹{京上}子
綼	糹{卑上}十
縩	糹{祭上}示
縳	糹{專上}寸
繐	糹{專上}心
纸	纟{卬左}七
聛	耳{卑上}十
聤	耳{亮上}丁
肃	肀{介下}八
脝	⺼{京上}了
脝	月{京上}了
脾	⺼{卑上}十
脾	月{卑上}十
膞	⺼{專上}寸
膞	月{專上}寸
舐	舌{卬左}七
艚	舟{曹上}日
芗	艹{纟上}丿
芪	艹{卬左}七
華	艹{華中}十
萆	艹{卑上}十
葶	艹{亮上}丁
蓴	艹{專上}寸
蓸	艹{曹上}日
蔡	艹{祭上}示
蕙	艹{專上}心
蘥	艹{龠上}冊
蚔	虫{卬左}七
蜱	虫{卑上}十
蜳	虫{京上}子
蝁	一{亞下}虫
蝏	虫{亮上}丁
螬	虫{曹上}日
蟂	虫{鳥上}木
蟪	虫{專上}心
蠔	虫{亮上}豕
衹	衤{卬左}七
裨	衤{卑上}十
褿	衤{曹上}日
覛	⺁{𠇊右}見
覧	臣{⺮右}見
览	〢{⺮右}见
諀	言{卑上}十
諄	言{京上}子
諒	言{京上}小
諪	言{亮上}丁
譓	言{專上}心
譹	言{亮上}豕
讑	言{龠上}冊
谅	讠{京上}小
谆	讠{京上}子
貏	豸{卑上}十
費	弓{介下}貝
费	弓{介下}贝
赤	土{介下}八
赿	走{卬左}七
跞	足{乐上}小
蹧	足{曹上}日
軝	車{卬左}七
輬	車{京上}小
轉	車{專上}寸
轹	车{乐上}小
辌	车{京上}小
进	二{介下}辶
迮	𠂉{乍下}辶
郘	口{囟框}阝
鄬	丶{爲下}阝
鄬	爫{爲下}阝
醇	酉{京上}子
醕	酉{京上}日
醩	酉{曹上}日
鉴	〢{⺮右}金
錍	金{卑上}十
錞	金{京上}子
鍄	金{京上}小
鍳	臣{⺮右}金
鎄	金{京上}𧘇
鏄	金{專上}寸
鏪	金{曹上}日
鏸	金{專上}心
鑰	金{龠上}冊
铄	钅{乐上}小
锿	钅{京上}𧘇
陴	阝{卑上}十
際	阝{祭上}示
鞞	革{卑上}十
鞟	革{京上}子
颶	風{具上}八
髀	骨{卑上}十
鯙	魚{京上}子
鯨	魚{京上}小
鰶	魚{祭上}示
鰽	魚{曹上}日
鱄	魚{專上}寸
鲸	鱼{京上}小
鵶	一{亞下}鳥
麖	鹿{京上}小
黥	黑{京上}小
鼣	臼{鼠下}犬
鼤	臼{鼠下}文
鼪	臼{鼠下}生
鼫	臼{鼠下}石
鼬	臼{鼠下}由
鼰	臼{鼠下}貝
掠	扌{京上}小
諒	言{京上}小
惡	一{亞下}心
﨩	阝{鳥上}山
碑	石{卑上}十
婢	女{卑上}十
華	艹{華中}十
𠄺	二{介下}見
𠈈	亻{囟框}乂
𠈧	亻{雋下}又
𠕩	冎{卑上}十
𠗦	冫{馬上}廾
𠗪	冫{京上}𧘇
𠗫	冫{奐上}大
𠙖	冫{馬上}几
𠛢	𠂉{乍下}刂
𠜲	一{亞下}刂
𠟠	隹{雋下}刂
𠡂	弓{介下}力
𠤛	匕{亞中}一
𠥉	匚{卑上}十
𠥯	匚{卬左}七
𠦂	冫{飞右}十
𠦈	二{介下}十
𠦽	十{專上}心
𠧃	甫{卑上}十
𠧅	咼{卑上}十
𠨿	厂{卬左}七
𠩭	厂{京上}子
𠩲	厂{卑上}十
𠬻	丰{发左}又
𠱃	口{雋下}一
𠱖	口{囟框}乂
𠱧	亻{𠇊右}口
𠶛	口{京上}小
𠷥	口{亮上}丁
𠽡	口{專上}心
𡀏	口{微上}工
𡆿	囗{卬左}七
𡊁	土{卬左}卩
𡌴	十{具上}土
𡌿	土{京上}小
𡏭	土{鳥上}木
𡐋	土{曹上}日
𡐒	土{亮上}毛
𡐝	土{鹿上}火
𡗻	弓{介下}大
𡘉	弓{介下}大
𡚼	女{卬左}七
𡜧	女{囟框}乂
𡞵	女{奐上}大
𡟓	女{京上}𧘇
𡠿	女{鳥上}木
𡦕	子{專上}寸
𡲎	尸{卑上}十
𡵙	山{卬左}卩
𡶯	山{囟框}乂
𡸭	一{亞下}山
𡹅	一{亞下}山
𡹞	山{京上}小
𡹡	山{京上}小
𡺌	山{奐上}大
𡺣	山{亮上}丁
𡻅	山{鳥上}山
𡻰	山{祭上}示
𡿺	巛{囟框}乂
𢃍	巾{卑上}十
𢅌	爫{爲下}巾
𢅹	巾{龠上}冊
𢈣	广{囟框}夊
𢈴	广{京上}小
𢍐	一{亞中}廾
𢎵	弓{介下}丨
𢏇	弓{介下}弓
𢒈	二{介下}彡
𢒍	弓{介下}彡
𢓋	彳{卬左}卩
𢔌	彳{卑上}十
𢗊	人{介下}心
𢗾	忄{卬左}卩
𢘍	弓{介下}心
𢛞	忄{卑上}十
𢜺	忄{京上}𧘇
𢝋	忄{亮上}儿
𢝋	忄{亮上}几
𢝜	忄{亮上}丁
𢡺	爫{爲下}心
𢫥	扌{囟框}乂
𢭇	扌{囟框}夊
𢮭	扌{具上}八
𢲍	扌{奐上}月
𢲵	扌{曹上}日
𢳚	扌{鳥上}木
𢳷	扌{奐上}皿
𢴅	扌{亮上}毛
𢴥	扌{專上}心
𣂗	二{介下}斤
𣂪	一{亞下}斤
𣂴	斤{亮上}丁
𣇩	一{亞下}日
𣉿	日{曹上}日
𣌻	日{介下}米
𣏚	木{卬左}七
𣏭	木{母框}𠂇
𣔿	臣{⺮右}木
𣘖	木{鳥上}木
𣘤	木{祭上}示
𣭘	弓{介下}毛
𣮐	毛{卑上}十
𣮘	毛{京上}小
𣱆	户{卬左}七
𣲜	二{介下}水
𣲴	弓{介下}水
𣳦	氵{囟框}乂
𣴂	氵{卬左}殳
𣹋	氵{鳥上}几
𣻏	氵{鳥上}木
𣻼	氵{亮上}毛
𣼟	氵{鹿上}水
𤀴	氵{鳥上}豕
𤇝	弓{介下}火
𤈽	火{京上}了
𤊗	一{亞下}火
𤋛	火{虍上}石
𤍿	火{專上}寸
𤏜	爫{爲下}火
𤐯	火{龠上}冊
𤐶	火{亮上}豕
𤑈	火{微上}王
𤗄	片{囟框}夊
𤗞	片{亮上}丁
𤗰	片{曹上}日
𤚙	牛{奐上}大
𤝟	弓{介下}犬
𤟨	犭{馬上}廾
𤠆	犭{京上}𧘇
𤡇	犭{亮上}毛
𤡐	犭{曹上}日
𤡔	犭{鳥上}木
𤢭	犭{亮上}豕
𤦚	王{具上}八
𤦻	王{亮上}儿
𤦻	王{亮上}几
𤧟	王{亮上}丁
𤪗	王{亮上}豕
𤮍	瓦{專上}寸
𤯴	豸{飞右}生
𤲢	一{亞下}田
𤷢	疒{具上}八
𤷦	疒{京上}小
𤸖	疒{京上}𧘇
𤸥	疒{亮上}丁
𤹵	疒{專上}寸
𤽹	白{卑上}十
𤾁	白{卑上}十
𥀛	皮{曹上}日
𥁖	口{介下}皿
𥁢	夭{介下}皿
𥄱	弓{介下}目
𥇜	目{京上}子
𥈉	目{奐上}大
𥉻	目{祭上}示
𥉼	目{鳥上}木
𥊢	十{具上}尚
𥋯	目{祭上}言
𥌉	目{龠上}冊
𥌺	目{龠上}冊
𥏠	矢{卑上}十
𥓁	石{囟框}夊
𥕢	石{曹上}日
𥚠	示{京上}子
𥛥	示{專上}寸
𥛸	示{專上}心
𥝃	弓{介下}禺
𥟭	禾{具上}八
𥠅	禾{奐上}大
𥠣	禾{亮上}丁
𥡵	禾{專上}寸
𥤉	禾{龠上}冊
𥦺	穴{奐上}大
𥧈	穴{鳥上}丷
𥪜	立{亮上}丁
𥫽	⺮{卬左}七
𥯢	⺮{亮上}丁
𥲍	⺮{曹上}日
𥵠	⺮{穀框}禾
𥸾	米{卬左}卩
𥿏	弓{介下}糸
𥿳	糹{囟框}乂
𦀙	糹{囟框}夊
𦂃	糹{亮上}丁
𦂳	臣{⺮右}糸
𦃂	𦣞{⺮右}糸
𦃭	糸{鳥上}山
𦄧	糹{曹上}日
𦇍	糹{穀框}糸
𦇬	糹{龠上}冊
𦋿	罒{曹上}日
𦕅	耳{卬左}卩
𦕻	耳{囟框}夊
𦙆	⺼{卬左}七
𦙆	月{卬左}七
𦝝	⺼{奐上}大
𦝞	⺼{亮上}丁
𦝞	月{亮上}丁
𦥠	臼{发左}又
𦨾	舟{京上}了
𦩖	舟{卑上}十
𦩛	舟{具上}八
𦪳	舟{亮上}豕
𦯎	艹{囟框}夊
𦳓	艹{鳥上}几
𦴒	艹{京上}日
𦹾	艹{亮上}毛
𦾫	艹{穀框}禾
𦿈	艹{龠上}冊
𧋙	虫{囟框}夊
𧌬	虫{京上}小
𧎑	虫{奐上}大
𧐕	虫{專上}寸
𧐢	虫{亮上}毛
𧕋	虫{龠上}冊
𧟇	衤{龠上}冊
𧠤	弓{介下}見
𧠨	⺁{𠇊右}見
𧡚	十{具上}見
𧥴	言{卬左}卩
𧦄	言{卬左}七
𧨑	言{京上}了
𧩾	臣{⺮右}言
𧫕	言{祭上}示
𧭆	言{龠上}冊
𧯿	壴{卑上}十
𧱊	豕{雋下}又
𧳄	豸{囟框}乂
𧵄	貝{卬左}七
𧶺	貝{亮上}丁
𧹊	貝{龠上}冊
𧹘	龷{介下}八
𧼠	走{卑上}十
𧽢	走{專上}寸
𨁺	足{具上}八
𨂙	足{京上}小
𨄊	足{祭上}示
𨄔	足{專上}寸
𨉬	身{亮上}丁
𨋕	車{卬左}卩
𨍄	車{具上}八
𨍒	臣{⺮右}車
𨎝	車{曹上}日
𨎥	車{專上}心
𨐜	辛{卑上}十
𨑝	丨{飞右}辶
𨑸	人{介下}辶
𨓐	口{囟框}辶
𨖿	爫{爲下}辶
𨙷	二{介下}阝
𨚓	弓{介下}阝
𨟾	酉{卬左}七
𨠺	酉{京上}了
𨡕	酉{卑上}十
𨢵	酉{祭上}示
𨥌	金{卬左}七
𨦱	金{囟框}夊
𨧤	金{京上}了
𨨣	金{具上}八
𨩉	金{奐上}大
𨩎	金{亮上}儿
𨩎	金{亮上}几
𨪃	金{亮上}丁
𨮙	金{亮上}豕
𨱉	钅{京上}小
𨱡	镸{卬左}七
𨲋	镸{卑上}十
𨵙	門{具上}八
𨶍	門{曾中}日
𨶫	門{祭上}示
𨷲	門{龠上}冊
𨷿	门{纟上}丿
𨸎	门{龠上}冊
𨸝	阝{卬左}七
𨺱	阝{亮上}丁
𨼶	阝{僉上}心
𩅂	雨{專上}寸
𩈵	臣{⺮右}面
𩉬	革{卬左}七
𩋻	革{京上}日
𩑿	䒑{发左}頁
𩓩	一{亞下}頁
𩗫	風{卑上}十
𩗬	風{京上}小
𩘯	風{專上}寸
𩘳	風{曹上}日
𩜃	食{具上}八
𩝆	食{奐上}大
𩞄	食{曹上}日
𩟾	饣{卬左}七
𩠎	饣{曹上}日
𩣢	馬{囟框}夊
𩤙	馬{亮上}丁
𩨆	马{亮上}丁
𩫝	高{卑上}十
𩬁	髟{卬左}七
𩬍	髟{母框}𠂇
𩭧	髟{卑上}十
𩸇	一{亞下}魚
𩸖	一{亞下}魚
𩹇	魚{亮上}丁
𩹗	魚{亮上}儿
𩹗	魚{亮上}几
𩾱	鳥{卬左}卩
𩾺	二{介下}鳥
𩿞	𠂉{乍下}鳥
𪁳	口{囟框}鳥
𪂃	鳥{卑上}十
𪂎	鳥{京上}子
𪅘	鳥{專上}寸
𪊩	鹿{華中}丨
𪑒	黑{京上}子
𪑬	黑{亮上}丁
𪒜	黑{專上}心
𪔹	臼{鼠下}刀
𪔻	臼{鼠下}夊
𪕂	臼{鼠下}殳
𪕃	臼{鼠下}方
𪕆	臼{鼠下}欠
𪕈	臼{鼠下}日
𪕋	臼{鼠下}卯
𪕏	臼{鼠下}穴
𪕔	臼{鼠下}耳
𪕕	臼{鼠下}虫
𪕝	臼{鼠下}足
𪕯	臼{鼠下}頁
𪕴	臼{鼠下}風
𪙡	齒{曹上}日
𪞈	八{母框}十
𪞨	冫{亮上}丁
𪞯	冫{亮上}豕
𪠸	口{乐上}小
𪣹	土{亮上}丁
𪩍	山{專上}寸
𪫖	彳{專上}寸
𪱇	日{專上}心
𪱧	月{亮上}儿
𪱶	二{介下}木
𪳄	木{亮上}儿
𪳄	木{亮上}几
𪵲	氵{雋下}一
𪵻	氵{囟框}人
𪶦	氵{京上}𧘇
𪸰	火{囟框}口
𪹥	火{祭上}示
𪻥	王{京上}了
𪼻	瓦{具上}八
𫂠	⺮{專上}心
𫆗	⺼{卬左}卩
𫆵	⺼{專上}心
𫈮	艹{京上}𧘇
𫋇	虫{鸟上}木
𫌈	衤{鳥上}山
𫌪	⺁{𠇊右}见
𫕄	阝{具上}八
𫚧	鱼{曹上}日
𫚺	⺁{𠇊右}鳥
