×	乂
𬋽	{鹿上}丂灬乂
𬌾	{奐上}匕匕犬
𬥰	{卬左}七貝貝
𬩒	{專上}寸刂辶
𬰟	{鹿上}丂灬非
𬱤	{卬左}七口页
𬳧	{纟上}丿丶日
𬵼	{卬左}冂乂魚
𬸫	{京上}子夊鸟
𬼏	{乐上}小夕卜
𬼴	{纟上}丿龷亍
𬽛	{亮上}丁电丶
𬽞	{亮上}丁斤辶
𭅼	{纟上}丿彐卩
𭉦	{具上}八口匕
𭏼	{京上}田九土
𭕃	{專上}寸厂土
𭙆	{卑上}十𠂉㐄
𭞇	{亮上}丁心丿
𭣙	{亮上}丁十又
𭣸	{京上}子⺊又
𭤉	{卬左}七日山
𭤑	{襄上}𠀎𧘇夊
𭶓	{微上}一几火
𮂤	{祭上}示扌非
𮋈	{京上}子习习
𮋍	{專上}心习习
𮕀	{京上}小尤虫
𮕁	{京上}子夊虫
𮚙	{母框}十貝古
𮚦	{京上}小尤貝
𮞀	{纟上}丿曲辰
𮡢	{亮上}丁里予
𮫥	{鬼左}土厶皿
𮭐	{京上}乙𰀪鳥
𮮡	{黽中}𬼖彐又
𮯠	{龠上}冊龷日
𦇚	{互中}一米糸
懲	{微上}一王心
蠁	{纟上}丿丶虫
𰁠	{亮上}几二力
𰄒	{雋下}一丂一
𰅺	{母框}十贝千
𰐆	{鹿上}丂灬大
𰑭	{卬左}七夊心
𰖘	{卬左}七古日
𰥆	{纟上}丿丿皿
𰼁	{京上}子耂巴
𱂶	{囟框}乂心页
𱍉	{龠上}冊⺈电
𱍊	{龠上}冊日日
𱎙	{亮上}几⺌兀
𱐐	{雋下}一口刂
𱐽	{曹上}日勹丶
𱗳	{京上}子阝土
𱘁	{京上}小尤土
𱜨	{乐上}小ナ巾
𱢳	{卬左}七虫日
𱬪	{京上}子九彡
𱲡	{京上}日羊皿
𱶫	{襄上}囗口禾
𱾷	{囟框}乂八牙
𲆘	{纟上}丿丑阝
𲌘	{京上}囗口女
□	口
☶	艮
⺀	⺀
⺁	⺁
⺂	乙
⺃	乚
⺄	乙
⺅	亻
⺆	⺆
⺇	几
⺈	⺈
⺉	刂
⺊	⺊
⺋	㔾
⺌	⺌
⺍	⺍
⺎	兀
⺐	尢
⺒	巳
⺓	幺
⺔	彑
⺕	⺕
⺖	忄
⺘	扌
⺙	夊
⺝	月
⺟	母
⺡	氵
⺢	水
⺣	灬
⺤	爫
⺥	爪
⺦	丬
⺧	⺧
⺨	犭
⺩	王
⺫	罒
⺬	示
⺭	礻
⺮	⺮
⺯	糹
⺰	纟
⺲	罒
⺶	⺶
⺷	⺷
⺹	耂
⺺	肀
⺼	月
⺽	⺽
⺾	艹
⺿	艹
⻀	卝
⻁	虎
⻂	衤
⻃	西
⻄	西
⻅	见
⻈	讠
⻉	贝
⻊	足
⻋	车
⻌	辶
⻍	⻍
⻎	辶
⻏	阝
⻐	钅
⻑	長
⻒	镸
⻓	长
⻔	门
⻖	阝
⻗	雨
⻚	页
⻝	食
⻞	食
⻟	食
⻠	饣
⻢	马
⻣	骨
⻤	鬼
⻥	鱼
⻦	鸟
⼀	一
⼁	丨
⼂	丶
⼃	丿
⼄	乙
⼅	亅
⼆	二
⼇	亠
⼈	人
⼉	儿
⼊	入
⼋	八
⼌	冂
⼍	冖
⼎	冫
⼏	几
⼐	凵
⼑	刀
⼒	力
⼓	勹
⼔	匕
⼕	匚
⼖	匚
⼗	十
⼘	卜
⼙	卩
⼚	厂
⼛	厶
⼜	又
⼝	口
⼞	囗
⼟	土
⼠	士
⼡	夊
⼢	夊
⼣	夕
⼤	大
⼥	女
⼦	子
⼧	宀
⼨	寸
⼩	小
⼪	尢
⼫	尸
⼬	屮
⼭	山
⼮	巛
⼯	工
⼰	己
⼱	巾
⼲	干
⼳	幺
⼴	广
⼵	廴
⼶	廾
⼷	弋
⼸	弓
⼹	彐
⼺	彡
⼻	彳
⼼	心
⼽	戈
⼾	戶
⼿	手
⽂	文
⽄	斤
⽅	方
⽇	日
⽈	日
⽉	月
⽊	木
⽋	欠
⽌	止
⽎	殳
⽑	毛
⽓	气
⽔	水
⽕	火
⽖	爪
⽙	爿
⽚	片
⽛	牙
⽜	牛
⽝	犬
⽠	瓜
⽡	瓦
⽣	生
⽤	用
⽥	田
⽧	疒
⽨	癶
⽩	白
⽪	皮
⽫	皿
⽬	目
⽮	矢
⽯	石
⽰	示
⽲	禾
⽳	穴
⽴	立
⽵	竹
⽶	米
⽷	糸
⽸	缶
⽺	羊
⽽	而
⽿	耳
⾂	臣
⾃	自
⾄	至
⾅	臼
⾆	舌
⾈	舟
⾉	艮
⾌	虍
⾍	虫
⾑	襾
⾒	見
⾔	言
⾗	豕
⾘	豸
⾙	貝
⾛	走
⾜	足
⾝	身
⾞	車
⾟	辛
⾠	辰
⾣	酉
⾥	里
⾦	金
⾧	長
⾨	門
⾪	隶
⾫	隹
⾬	雨
⾮	非
⾯	面
⾰	革
⾴	頁
⾵	風
⾶	飛
⾷	食
⾺	馬
⾻	骨
⾼	高
⾽	髟
⾾	鬥
⿁	鬼
⿂	魚
⿃	鳥
⿄	鹵
⿅	鹿
⿇	麻
⿊	黑
⿒	齒
〇	〇
〡	丨
〢	〢
〣	〣
〤	乂
〥	乚
〦	丄
〱	乚
〳	丨
〴	丨
〵	丨
〸	十
〹	卄
〺	卅
〻	乙
く	乚
こ	二
し	乚
そ	乙
っ	乙
つ	乙
て	乙
の	乙
ひ	乙
へ	乀
り	乚
る	乙
ろ	乙
ゐ	乙
ゑ	乙
ん	乚
゛	⺀
ィ	亻
イ	亻
ェ	工
エ	工
カ	力
キ	𰀁
ク	⺈
コ	コ
サ	艹
シ	氵
ス	ス
ソ	丷
タ	夊
チ	千
ッ	⺍
ツ	⺍
ト	卜
ナ	ナ
ニ	二
ネ	礻
ノ	丿
ハ	八
ヒ	匕
フ	乙
ヘ	乀
ホ	朩
マ	マ
ミ	三
ム	厶
メ	乂
ュ	ユ
ユ	ユ
ョ	彐
ヨ	彐
リ	リ
ル	儿
レ	乚
ロ	口
ヰ	㐄
ン	冫
ヵ	力
ー	一
ㄅ	乚
ㄆ	夊
ㄇ	冂
ㄈ	匚
ㄋ	乙
ㄍ	巜
ㄎ	丂
ㄏ	厂
ㄐ	丩
ㄑ	乚
ㄒ	丅
ㄔ	彳
ㄗ	ㄗ
ㄙ	厶
ㄟ	乀
ㄠ	幺
ㄡ	又
ㄣ	乚
ㄤ	尢
ㄥ	乚
ㄦ	儿
ㄧ	丨
ㄨ	乂
ㄩ	凵
ㄫ	兀
ㄬ	广
㆐	丨
㆑	乚
㆒	一
㆓	二
㆔	三
㆖	上
㆘	下
㆙	甲
㆚	乙
㆜	丁
㆟	人
ㆠ	乚
ㆡ	ㄗ
ㆢ	丩
ㆣ	巜
ㆨ	乂
ㆪ	一
ㆫ	乂
ㆭ	兀
ㆯ	幺
ㆲ	工
ㆳ	丨
ㆴ	乚
ㆶ	丂
ㆷ	厂
ㆸ	乙
ㆹ	乚
ㆺ	十
ㆻ	巜
ㆾ	艹
ㆿ	八
㇀	一
㇁	乙
㇂	乚
㇃	乚
㇄	乚
㇅	乙
㇆	乙
㇇	乙
㇈	乙
㇉	乚
㇊	乙
㇋	乙
㇌	乙
㇍	乙
㇎	乙
㇏	乀
㇐	一
㇑	丨
㇒	丿
㇓	丿
㇔	丶
㇕	乙
㇖	乙
㇗	乚
㇘	亅
㇙	乚
㇚	亅
㇛	乚
㇜	乚
㇝	乀
㇞	乚
㇟	乚
㇠	乙
㇡	乙
㇢	亅
㇣	〇
㇤	乙
㇥	乚
㈠	一
㈡	二
㈢	三
㈦	七
㈧	八
㈨	九
㈩	十
㈪	月
㈫	火
㈬	水
㈭	木
㈮	金
㈯	土
㈰	日
㉂	自
㉃	至
㉆	文
㊀	一
㊁	二
㊂	三
㊆	七
㊇	八
㊈	九
㊉	十
㊊	月
㊋	火
㊌	水
㊍	木
㊎	金
㊏	土
㊐	日
㊛	女
㊣	正
㊤	上
㊦	下
㋑	亻
㋓	工
㋕	力
㋖	𰀁
㋗	⺈
㋙	コ
㋚	艹
㋛	氵
㋜	ス
㋞	丷
㋟	夊
㋠	千
㋡	⺍
㋣	卜
㋤	ナ
㋥	二
㋧	礻
㋨	丿
㋩	八
㋪	匕
㋫	乙
㋬	乀
㋭	朩
㋮	マ
㋯	三
㋰	厶
㋱	乂
㋴	ユ
㋵	彐
㋷	リ
㋸	儿
㋹	乚
㋺	口
㋼	㐄
㐄	㐄
㐅	乂
㔾	㔾
䒑	䒑
䶹	屮
一	一
丁	丁
丂	丂
七	七
丄	丄
丅	丅
丆	丆
三	三
上	上
下	下
丌	丌
不	不
丑	丑
且	且
世	世
业	业
丨	丨
丩	丩
丬	丬
丰	丰
丱	丱
丶	丶
丷	丷
丿	丿
乀	乀
乁	乀
乂	乂
乃	乃
之	之
乌	乌
乙	乙
乚	乚
乛	乙
乜	乜
九	九
也	也
习	习
亅	亅
了	了
予	予
二	二
亍	亍
亠	亠
亡	亡
亥	亥
亦	亦
人	人
亻	亻
來	來
僉	僉
儿	儿
兀	兀
入	入
八	八
其	其
冂	冂
冊	冊
冎	冎
冖	冖
冫	冫
几	几
凵	凵
刀	刀
刂	刂
力	力
勹	勹
匕	匕
匚	匚
匸	匚
十	十
千	千
卄	卄
卅	卅
卌	卌
卜	卜
卝	卝
卩	卩
卯	卯
厂	厂
厶	厶
叀	叀
又	又
口	口
古	古
合	合
向	向
咼	咼
囗	囗
土	土
士	士
壬	壬
壴	壴
夂	夊
夊	夊
夕	夕
大	大
夫	夫
夭	夭
女	女
子	子
孑	子
宀	宀
寸	寸
小	小
尙	尚
尚	尚
尢	尢
尤	尤
尸	尸
屮	屮
山	山
巛	巛
巜	巜
川	川
工	工
己	己
已	已
巳	巳
巴	巴
巾	巾
干	干
幺	幺
广	广
廴	廴
廾	廾
弋	弋
弓	弓
彐	彐
彑	彑
彡	彡
彳	彳
心	心
忄	忄
戈	戈
戊	戊
戶	戶
户	户
戸	戸
手	手
扌	扌
攵	夊
文	文
斤	斤
方	方
日	日
早	早
曰	曰
曲	曲
月	月
木	木
朩	朩
未	未
末	末
欠	欠
止	止
正	正
殳	殳
母	母
毛	毛
气	气
水	水
氵	氵
氺	水
火	火
灬	灬
烏	烏
爪	爪
爫	爫
爿	爿
片	片
牙	牙
牛	牛
牜	牛
犬	犬
犭	犭
王	王
瓜	瓜
瓦	瓦
生	生
用	用
甫	甫
田	田
由	由
甲	甲
申	申
电	电
甶	甶
疒	疒
癶	癶
白	白
皮	皮
皿	皿
目	目
矢	矢
石	石
示	示
礻	礻
禺	禺
禾	禾
穴	穴
立	立
竹	竹
米	米
糸	糸
糹	糹
纟	纟
缶	缶
罒	罒
羊	羊
耂	耂
而	而
耳	耳
肀	肀
臣	臣
自	自
至	至
臼	臼
舌	舌
舟	舟
艮	艮
艹	艹
虍	虍
虎	虎
虫	虫
衤	衤
襾	襾
西	西
覀	西
見	見
见	见
言	言
訁	言
讠	讠
豕	豕
豸	豸
貝	貝
贝	贝
走	走
足	足
身	身
車	車
车	车
辛	辛
辰	辰
辶	辶
酉	酉
里	里
金	金
釒	金
钅	钅
長	長
镸	镸
长	长
門	門
门	门
阝	阝
隶	隶
隹	隹
雨	雨
非	非
面	面
革	革
頁	頁
页	页
風	風
飛	飛
食	食
飠	食
饣	饣
馬	馬
马	马
骨	骨
高	高
髟	髟
鬥	鬥
鬼	鬼
魚	魚
鱼	鱼
鳥	鳥
鸟	鸟
鹵	鹵
鹿	鹿
麻	麻
黑	黑
齒	齒
龰	龰
龴	マ
龵	龵
龶	龶
龷	龷
龸	龸
	二
	二
	二
	丰
	𡗗
	示
	示
	龶
	𠀎
	𰀁
	舌
	干
	𰀁
	𬺰
	㐄
	卅
	𦣞
	𬼖
	來
	卌
	七
	七
	七
	匕
	丂
	丂
	𬼖
	𦣝
	㐄
	丌
	⺊
	丬
	片
	止
	〢
	〣
	リ
	水
	龸
	尚
	冂
	𫩏
	电
	电
	冊
	月
	冎
	月
	𫝀
	巾
	月
	𠂉
	丰
	千
	斤
	⺽
	𰃦
	𫶧
	𠂤
	𰀪
	⺁
	儿
	儿
	卯
	𠂎
	𠂎
	𠂎
	𧘇
	夊
	𱼀
	𧰨
	乃
	亦
	高
	文
	𣎆
	リ
	⺶
	𢆉
	⺀
	八
	⺍
	⺍
	コ
	尸
	ユ
	彐
	爿
	巳
	己
	习
	ス
	マ
	厶
	マ
	癶
	𠁁
	水
車	車
金	金
來	來
鹿	鹿
不	不
辰	辰
女	女
力	力
了	了
里	里
立	立
見	見
兀	兀
屮	屮
爫	爫
艹	卝
艹	艹
辶	辶
𖿠	乙
𖿢	乚
𖿣	二
𖿱	乚
𘠀	一
𘠁	丨
𘠂	丿
𘠃	乙
𘠄	乙
𘠅	乙
𘠆	乚
𘠇	乚
𘠈	乚
𘠉	乚
𘠊	二
𘠋	厂
𘠌	丅
𘠍	丅
𘠎	十
𘠒	冂
𘠓	几
𘠔	几
𘠕	亻
𘠗	人
𘠘	乂
𘠙	亠
𘠚	丷
𘠛	ユ
𘠢	匕
𘠨	干
𘠩	𰀁
𘠫	工
𘠬	艹
𘠲	扌
𘠸	〣
𘠼	巾
𘡁	彳
𘡂	彡
𘡈	广
𘡊	䒑
𘡌	⺌
𘡍	⺍
𘡓	𫝀
𘡡	丰
𘡩	卅
𘡪	卅
𘡶	片
𘡹	月
𘣘	卌
𘤘	𢆉
𘫳	丷
𘬀	⺀
𘬁	一
𘬂	丁
𘬃	干
𘬄	王
𘬡	而
𘬶	十
𘬷	长
𘬿	㐄
𘭆	木
𘭔	土
𘭝	龶
𘭲	廾
𘭴	尢
𘭶	大
𘮌	丂
𘮐	女
𘮔	丨
𘮖	刂
𘮚	非
𘮜	丄
𘮝	山
𘮦	小
𘮭	冂
𘮹	月
𘯂	目
𘯇	巾
𘯌	由
𘯏	口
𘯕	白
𘯜	欠
𘯝	𧘇
𘯟	夊
𘯥	几
𘯦	儿
𘯧	乚
𘯴	乃
𘯼	九
𘰃	生
𘰌	矢
𘰨	八
𘱌	乂
𘱒	文
𘱕	亦
𘱘	穴
𘱪	火
𘱵	米
𘱾	⺍
𘲛	又
𘲡	刀
𘲤	力
𘲬	了
𘲰	子
𘲶	乙
𘳀	乚
𘳂	牛
𘳋	乚
𘳌	厶
𘳍	幺
𛀧	木
𛀭	九
𛀸	古
𛁄	之
𛁅	之
𛁒	世
𛁓	世
𛁔	世
𛁢	千
𛁩	川
𛁪	川
𛁷	土
𛂈	二
𛂍	耳
𛂎	耳
𛂘	子
𛂙	乃
𛂞	八
𛂪	日
𛂭	非
𛂮	飛
𛂯	飛
𛂰	不
𛃃	末
𛃄	末
𛃈	麻
𛃉	三
𛃎	見
𛃏	身
𛃕	面
𛃖	馬
𛃗	母
𛃘	毛
𛃙	毛
𛃚	毛
𛃝	也
𛃞	也
𛃤	由
𛃥	由
𛃶	里
𛄋	王
𛄌	王
𛄠	丄
𛄲	二
𛅐	乙
𛅑	乙
𛅕	コ
𛅤	㐄
𛅧	冫
🀂	西
🀆	白
🀤	竹
🈂	艹
🈐	手
🈔	二
🈢	生
🈩	一
🈪	三
🈰	走
🈴	合
🈷	月
🈸	申
🉁	三
🉂	二
🐅	虎
🐯	虎
🙄	不
🙅	不
🩣	馬
🩤	車
🩨	士
🩪	馬
🩫	車
𠀎	𠀎
𠁁	𠁁
𠁼	⺍
𠂆	⺁
𠂇	ナ
𠂈	丩
𠂉	𠂉
𠂊	⺈
𠂎	𠂎
𠂒	⺧
𠂤	𠂤
𠂭	𠂭
𠃉	乚
𠃊	乚
𠃋	乚
𠃌	乙
𠃍	乙
𠃑	乚
𠃜	𠃜
𠄌	乚
𠄎	乙
𠄏	了
𠄔	予
𠄞	二
𠄟	二
𠄠	二
𠆢	人
𠕁	冊
𠘧	几
𠘨	几
𠙴	凵
𠤎	匕
𠥓	匚
𡈼	壬
𡗗	𡗗
𡭔	小
𡿨	乚
𢆉	𢆉
𢎗	弓
𢎜	弓
𣎆	𣎆
𣎳	木
𣥂	𣥂
𣥄	正
𤣩	王
𥫗	⺮
𦍌	⺷
𦣝	𦣝
𦣞	𦣞
𦥑	⺽
𧘇	𧘇
𧰨	𧰨
𧾷	足
𨐋	辛
𩙿	食
𪛗	合
𪛙	一
𪛚	上
𪛜	工
𫜵	爫
𫜹	彐
𫝀	𫝀
𫠠	七
𫩏	𫩏
𫩠	尚
𫶧	𫶧
𬂛	十
𬺰	𬺰
𬼀	丷
𬼂	乚
𬼖	𬼖
𭕄	⺍
乁	乀
𠕋	冊
凵	凵
尢	尤
屮	屮
㠯	𠂤
廾	廾
王	王
豕	豕
麻	麻
𰀁	𰀁
𰀂	𬼖
𰀄	𬼖
𰀪	𰀪
𰁜	亦
𰃦	𰃦
𰆊	ㄗ
𱍸	𱍸
𱤻	止
𱼀	𱼀
⻜	乙{飞右}
⻬	文{介下}
⿏	臼{鼠下}
乍	𠂉{乍下}
乔	夭{介下}
井	二{介下}
亜	一{亜下}
亞	一{亞下}
介	人{介下}
呂	口{囟框}
夰	大{介下}
应	广{兴上}
弗	弓{介下}
氘	气{介下}
為	丶{爲下}
爲	爫{爲下}
畏	田{畏下}
直	十{具上}
雋	隹{雋下}
飞	乙{飞右}
鼠	臼{鼠下}
齐	文{介下}
	一{亞中}
	丿{黽中}
	冫{飞右}
	乚{飞右}
呂	口{囟框}
直	十{具上}
𘡀	丿{介下}
𘡔	乙{介下}
𘡘	乙{介下}
𘢤	丷{介下}
𘢺	乙{乍下}
𘤚	䒑{介下}
𘰬	八{介下}
𛀲	人{介下}
𛀳	人{介下}
𛀼	𠂉{乍下}
𛄂	口{囟框}
𛄃	口{囟框}
𛄍	二{介下}
𛄎	二{介下}
𛄐	爫{爲下}
𠁦	口{乍下}
𠂢	⺁{𠇊右}
𠂽	甶{畏下}
𠇊	亻{𠇊右}
𠕇	ナ{冂丶}
𠳧	口{龍右}
𡊐	土{雋下}
𡕒	一{发左}
𡕓	夊{介下}
𢀘	工{介下}
𢮛	扌{專上}
𣦶	一{互中}
𤣥	亠{纟上}
𤴮	疒{介下}
𤵑	疒{𠇊右}
𦝏	月{專上}
𧰶	豕{雋下}
𧱠	豕{龍右}
𩃘	雨{專上}
𩡬	馬{飞右}
𪽉	由{畏下}
𫞟	丷{爲下}
𫵎	尢{飞右}
𬽈	亠{具上}
𭁄	䒑{发左}
𮙥	豸{飞右}
𮫈	髟{鼠下}
直	十{具上}
𰀠	丨{飞右}
𰀢	〢{⺮右}
𰐰	彳{專上}
𰛅	亅{飞右}
丽	一{冂丶}{冂丶}
𦭺	艹{发左}{发左}{发左}
咝	口{纟上}{纟上}一
彨	一{冂丶}{冂丶}彡
逦	一{冂丶}{冂丶}辶
郦	一{冂丶}{冂丶}阝
鬬	鬥{卬左}{亞下}斤
鹂	一{冂丶}{冂丶}鸟
𠁖	一{冂丶}{冂丶}丨
𡔅	爫{曾中}{曾中}土
𣱊	丅{介下}{卬左}丶
𣱌	一{亜下}{卬左}七
𪖃	臼{鼠下}{穀框}几
𫾲	一{冂丶}{冂丶}又
𰄭	一{冂丶}{冂丶}刂
𰴗	一{冂丶}{冂丶}见
𱍪	一{冂丶}{冂丶}殳
⻫	文{介下}二
⾚	土{介下}八
㈼	臣{⺮右}皿
㊬	臣{⺮右}皿
㒢	亻{龠上}冊
㓝	二{介下}刂
㔗	弓{介下}力
㖵	口{具上}八
㗒	口{京上}𧘇
㗫	口{祭上}示
㜖	女{曹上}日
㞴	山{卬左}七
㠙	山{亮上}豕
㡜	巾{祭上}示
㡟	巾{曹上}日
㡳	广{卬左}七
㥫	忄{京上}日
㧛	〢{⺮右}手
㧰	扌{乐上}小
㧸	扌{京上}了
㨃	扌{京上}子
㩝	扌{亮上}豕
㪄	弓{介下}夊
㪱	文{奐上}大
㬀	日{京上}子
㬇	日{奐上}大
㭡	木{囟框}乂
㰡	人{介下}欠
㰳	一{亞下}欠
㵸	氵{龠上}冊
㷚	火{亮上}丁
㷮	火{曹上}日
㹁	牛{京上}小
㹝	犭{卬左}七
㻮	王{祭上}示
㽡	田{卑上}十
㾎	疒{雋下}一
䀚	目{卬左}卩
䀥	目{乐上}小
䁁	目{京上}小
䁎	目{亮上}丁
䁣	目{專上}寸
䃄	石{京上}小
䄚	礻{曹上}日
䄞	礻{祭上}示
䇏	立{京上}子
䇑	立{卑上}十
䈞	⺮{京上}日
䉻	米{卬左}七
䊜	米{專上}寸
䏅	耳{祭上}示
䏆	耳{曹上}日
䐬	月{曹上}日
䒢	艹{卬左}卩
䛓	〢{⺮右}言
䛜	言{囟框}乂
䜊	言{曹上}日
䝶	貝{京上}小
䟑	走{龠上}冊
䟗	足{卬左}七
䠋	足{卑上}十
䠯	足{龠上}冊
䡟	車{卑上}十
䢝	一{亞下}辶
䣼	酉{京上}小
䤝	金{卬左}卩
䦄	钅{專上}𧘇
䧐	阝{京上}子
䧠	阝{專上}寸
䧥	阝{專上}心
䧫	阝{亮上}豕
䩕	革{卬左}卩
䭹	馬{卬左}卩
䰦	鬼{卑上}十
䱝	魚{卑上}十
䲬	鳥{卬左}七
䲸	人{介下}鳥
䶆	臼{鼠下}隹
临	〢{⺮右}𫩏
仰	亻{卬左}卩
俱	亻{具上}八
俾	亻{卑上}十
倞	亻{京上}小
停	亻{亮上}丁
偯	亻{京上}𧘇
傮	亻{曹上}日
傳	亻{專上}寸
傺	亻{祭上}示
僡	亻{專上}心
儫	亻{亮上}豕
凉	冫{京上}小
刜	弓{介下}刂
剂	文{介下}刂
哼	口{京上}了
啍	口{京上}子
啤	口{卑上}十
喚	口{奐上}大
喨	口{亮上}几
嘄	口{鳥上}木
嘈	口{曹上}日
噕	爫{爲下}口
嚎	口{亮上}豕
團	囗{專上}寸
坁	土{卬左}七
坓	二{介下}土
垇	土{雋下}一
埤	土{卑上}十
埧	土{具上}八
埻	土{京上}子
堊	一{亞下}土
塼	土{專上}寸
壕	土{亮上}豕
婛	女{京上}小
婢	女{卑上}十
婷	女{亮上}丁
嫥	女{專上}寸
寏	宀{奐上}大
察	宀{祭上}示
寭	宀{專上}心
岇	山{卬左}卩
崋	山{華中}十
崞	山{京上}子
崥	山{卑上}十
嵉	山{亮上}丁
嶆	山{曹上}日
庳	广{卑上}十
弴	弓{京上}子
弶	弓{京上}小
忯	忄{卬左}七
怎	𠂉{乍下}心
悙	忄{京上}了
悪	一{亜下}心
惇	忄{京上}子
惊	忄{京上}小
惡	一{亞下}心
惧	忄{具上}八
惪	十{具上}心
愌	忄{奐上}大
慒	忄{曹上}日
慱	忄{專上}寸
憏	忄{祭上}示
憓	忄{專上}心
扺	扌{卬左}七
抑	扌{卬左}卩
捣	扌{鸟上}山
捭	扌{卑上}十
掠	扌{京上}小
換	扌{奐上}大
揨	扌{亮上}丁
搗	扌{鳥上}山
摖	扌{祭上}示
摶	扌{專上}寸
斉	文{介下}二
斎	文{介下}示
昂	日{卬左}卩
景	日{京上}小
晾	日{京上}小
暩	日{祭上}示
暷	日{專上}寸
曾	丷{曾中}日
朜	月{京上}子
枊	木{卬左}卩
栎	木{乐上}小
梈	木{京上}了
椁	木{京上}子
椇	木{具上}八
椋	木{京上}小
椑	木{卑上}十
楟	木{亮上}丁
槝	木{鳥上}山
槫	木{專上}寸
槽	木{曹上}日
橞	木{專上}心
檺	木{亮上}豕
毎	𠂉{母框}十
毐	士{母框}ナ
汦	氵{卬左}七
汬	二{介下}水
泺	氵{乐上}小
涥	氵{京上}了
涼	氵{京上}小
淳	氵{京上}子
渊	氵{介下}米
渒	氵{卑上}十
渙	氵{奐上}大
渟	氵{亮上}丁
湸	氵{亮上}几
湻	氵{京上}日
漈	氵{祭上}示
漕	氵{曹上}日
漙	氵{專上}寸
潓	氵{專上}心
濠	氵{亮上}豕
瀹	氵{龠上}冊
烁	火{乐上}小
焞	火{京上}子
焷	火{卑上}十
煥	火{奐上}大
煷	火{亮上}几
爚	火{龠上}冊
爳	爫{爲下}了
牌	片{卑上}十
犉	牛{京上}子
犋	牛{具上}八
猄	犭{京上}小
猈	犭{卑上}十
琕	王{卑上}十
琼	王{京上}小
瑍	王{奐上}大
瑼	王{專上}寸
璤	王{專上}心
疧	疒{卬左}七
痺	疒{卑上}十
瘓	疒{奐上}大
瘵	疒{祭上}示
监	〢{⺮右}皿
監	臣{⺮右}皿
眂	目{卬左}七
真	十{具上}八
睥	目{卑上}十
砾	石{乐上}小
硇	石{囟框}乂
碑	石{卑上}十
碠	石{亮上}丁
磚	石{專上}寸
磜	石{祭上}示
祇	礻{卬左}七
禆	礻{卑上}十
禴	礻{龠上}冊
秖	禾{卬左}七
稕	禾{京上}子
稗	禾{卑上}十
稤	禾{京上}小
穄	禾{祭上}示
穗	禾{專上}心
窗	穴{囟框}夊
竱	立{專上}寸
箄	⺮{卑上}十
篿	⺮{專上}寸
籇	⺮{亮上}豕
籥	⺮{龠上}冊
粺	米{卑上}十
糟	米{曹上}日
紙	糹{卬左}七
綡	糹{京上}小
綧	糹{京上}子
綼	糹{卑上}十
縩	糹{祭上}示
縳	糹{專上}寸
繐	糹{專上}心
纸	纟{卬左}七
聛	耳{卑上}十
聤	耳{亮上}丁
肃	肀{介下}八
脝	月{京上}了
脾	月{卑上}十
膞	月{專上}寸
舐	舌{卬左}七
艚	舟{曹上}日
芗	艹{纟上}丿
芪	艹{卬左}七
華	艹{華中}十
萆	艹{卑上}十
葶	艹{亮上}丁
蓴	艹{專上}寸
蓸	艹{曹上}日
蔡	艹{祭上}示
蕙	艹{專上}心
蘥	艹{龠上}冊
蚔	虫{卬左}七
蜱	虫{卑上}十
蜳	虫{京上}子
蝁	一{亞下}虫
蝏	虫{亮上}丁
螬	虫{曹上}日
蟂	虫{鳥上}木
蟪	虫{專上}心
蠔	虫{亮上}豕
衹	衤{卬左}七
裨	衤{卑上}十
褿	衤{曹上}日
覛	⺁{𠇊右}見
覧	臣{⺮右}見
览	〢{⺮右}见
諀	言{卑上}十
諄	言{京上}子
諒	言{京上}小
諪	言{亮上}丁
譓	言{專上}心
譹	言{亮上}豕
讑	言{龠上}冊
谅	讠{京上}小
谆	讠{京上}子
貏	豸{卑上}十
費	弓{介下}貝
费	弓{介下}贝
赤	土{介下}八
赿	走{卬左}七
跞	足{乐上}小
蹧	足{曹上}日
軝	車{卬左}七
輬	車{京上}小
轉	車{專上}寸
轹	车{乐上}小
辌	车{京上}小
进	二{介下}辶
迮	𠂉{乍下}辶
鄬	爫{爲下}阝
醇	酉{京上}子
醕	酉{京上}日
醩	酉{曹上}日
鉴	〢{⺮右}金
錍	金{卑上}十
錞	金{京上}子
鍄	金{京上}小
鍳	臣{⺮右}金
鎄	金{京上}𧘇
鏄	金{專上}寸
鏪	金{曹上}日
鏸	金{專上}心
鑰	金{龠上}冊
铄	钅{乐上}小
锿	钅{京上}𧘇
陴	阝{卑上}十
際	阝{祭上}示
鞞	革{卑上}十
鞟	革{京上}子
颶	風{具上}八
髀	骨{卑上}十
鯙	魚{京上}子
鯨	魚{京上}小
鰶	魚{祭上}示
鰽	魚{曹上}日
鱄	魚{專上}寸
鲸	鱼{京上}小
鵶	一{亞下}鳥
麖	鹿{京上}小
黥	黑{京上}小
鼣	臼{鼠下}犬
鼤	臼{鼠下}文
鼪	臼{鼠下}生
鼫	臼{鼠下}石
鼬	臼{鼠下}由
鼰	臼{鼠下}貝
掠	扌{京上}小
諒	言{京上}小
惡	一{亞下}心
﨩	阝{鳥上}山
碑	石{卑上}十
婢	女{卑上}十
華	艹{華中}十
𘢽	乙{介下}丨
𛀅	一{亞下}心
𛀯	亻{具上}八
𛁙	丷{曾中}日
𛁚	丷{曾中}日
𛁰	亻{專上}寸
𛁶	車{專上}寸
