㑇	亻 负字头 彐
剫	广 廿 又 刂
剬	山 而 刂
剭	尸 至 刂
剮	见二 5 冂 口 刂
副	同字心 田 刂
剰	禾框 龷 刂
剱	全字头 同字心 人 刀 4
割	宀 丰 口 刂
剳	艹 亼 口 刂
剴	山 同字心 䒑 刂
創	全字头 4 尸 1 口 刂
剶	彑 豕省 刂
剷	立无横 厂 生 刂
剸	1 日 虫无口 寸 刂
剹	羽 全字头 彡 刂
剺	未 攵 厂 刀
剻	山 月 月 刂
剼	厶 厶 厶 全字头 彡 刂
剽	覀 示 刂
剾	匚 口 口 口 刂
剿	巛 日 木 刂
劀	予 3 冂 八 口 刂
劁	隹 灬 刂
劂	厂 䒑 䶹 欠 刂
劃	聿三 土 田 1 刂
劄	竹头 亼 口 刂
劅	罒 勹 虫 刂
劆	广 兼 刂
劇	虍 豕 刂
劈	尸 口 辛 刀
劉	留字头 金 刂
劊	亼 曾字头无丷 日 刂
劋	口 口 口 木 刂
劌	止 戊 1 步字底 刂
劍	亼 口 口 人 人 刂
劎	亼 口 口 人 人 刀
劏	尚头 田 刂
劐	艹 隹 又 刂
劑	亠 丷 2 刀 卬字旁 4 乔字底 二 刂
劒	亼 口 口 人 人 刀 4
劓	自 田 丌 刂
劔	亼 口 口 人 人 刀 4
劕	斤 斤 目 八 刂
劖	负字头 口 比字旁 匕 兔 刂
劗	告字头 儿 告字头 儿 目 八 刂
劘	麻 非 刂
劙	彑 豕省 虫 虫 刂
劚	尸 氺 罒 勹 虫 刂
力	力
劜	力 5
劝	又 力
办	力 横两点
功	工 力
加	力 口
务	夂 力
劢	1 万无横 力
劣	少三 3 力
劤	斤 力
劥	亠 几 力
劦	力 力 力
劧	手 力
动	云 力
助	且 力
努	女 又 力
劫	土 厶 力
劬	句 力
劭	刀 口 力
劮	3 夫 力
劯	石 力
劰	白 力
励	厂 1 万无横 力
劲	经右角 工 力
劳	艹 冖 力
労	学无子 力
劵	龹 力
劶	反字框 1 口 力
劷	差字头 力
劸	土 土 力
効	六 乂 力
劺	厶 牛 力
劻	匚 王 力
劼	士 口 力
劽	歹 刂 力
劾	亥 力
势	扌 丸 力
勀	古 儿 力
勁	1 巛 工 力
勂	告字头 口 力
勃	十 冖 子 力
勄	卧人 母 力
勅	束 力
勆	4 即字旁 力
勇	龴 甬字底 力
勈	龴 甬字底 力
勉	负字头 口 儿 力
勊	古 儿 力
勋	口 贝 力
勌	龹 㔾 力
勍	享字头 小 力
勎	土 八 土 力
勏	立 口 力
勐	子 皿 力
勑	木框 人 人 力
勒	革 力
勓	比字旁 匕 白 力
勔	面 力
動	千 里 力
勖	冒字头 目 力
勗	日 且 力
勘	其 5 力
務	予 3 夂 力
勚	廿 5 贝 力
勛	口 目 八 力
勜	八 厶 羽 力
勝	月 龹 力
勞	火 火 冖 力
募	艹 日 大 力
勠	羽 全字头 彡 力
勡	覀 示 力
勢	土 八 土 丸 力
勣	龶 目 八 力
勤	廿 口 龶 力
勥	弓 口 虫 力
勦	巛 日 木 力
勧	卧人 1 隹 力
勨	象 力
勩	廿 5 目 八 力
勪	3 大 口 冂 口 力
勫	3 米 田 力
勬	龹 糸 力
勭	立 里 力
勮	虍 豕 力
勯	亠 囗 口 日 1 力
勰	力 力 力 田 心
勱	艹 日 禺下 力
勲	千 里 力 灬
勳	千 黑 力
勴	虍 田 心 力
勵	厂 艹 日 禺下 力
勶	彳 充字头 青字底 攵 力
勷	亠 口 口 1 龷 衣省 力
勸	艹 口 口 隹 力
勹	勹
勺	勹 4
勻	勹 二
勼	勹 九
勽	勹 人
勾	勹 厶
勿	勿
匀	勹 冫
匁	黎右角 4
匂	勹 匕
匃	勹 亾
匄	勹 亡
包	勹 巳
匆	勿 4
匇	勹 夕
匈	勹 乂 凵
匉	勹 干 丷
匊	勹 米
匋	勹 缶
匌	勹 亼 口
匍	勹 甫
匎	勹 大 日 5
匏	大 二 5 勹 巳
匐	勹 同字心 田
匑	勹 身 弓
匒	勹 艹 亼 口
匓	勹 即字旁 殳
匔	勹 身 口 口
匕	匕
化	亻 化字边
北	北字旁 匕
匘	匕 巛 囱字框 乂
匙	日 定字底 匕
匚	匚
匛	匚 久二 4
匜	匚 也
匝	匚 巾
匞	匚 工
匟	匚 亠 几
匠	匚 斤
匡	匚 王
匢	匚 勿
匣	匚 甲
匤	匚 斜玉 4
匥	匚 厶 廾
匦	匚 车旁 九
匧	匚 大 人 人
匨	匚 爿 士
匩	匚 屮 1 土
匪	匚 非
匫	匚 勿 日
匬	匚 亼 青字底 刂
匭	匚 1 日 十 九
匮	匚 贵字头 贝
匯	匚 氵 隹
匰	匚 口 口 日 十
匱	匚 贵字头 目 八
匲	匚 大 口 口 口
匳	匚 亼 口 口 人 人
匴	匚 竹头 目 廾
匵	匚 士 罒 目 八
匶	匚 艹 隹 臼
匷	匚 目 目 隹
匸	匚
匹	匚 儿
区	匚 乂
医	匚 矢
匼	匚 亼 口
匽	匚 日 女
匾	匚 户 扁字心
匿	匚 艹 左字框 口
區	匚 口 口 口
十	十
卂	5 十
千	千
卄	贲字腰
卅	廾 2
卆	九 十
升	3 廾
午	卧人 十
卉	十 廾
半	丷 举字底
卋	十 廿
卌	带字头 2
卍	5 2 1 2
华	亻 化字边 十
协	十 力 横两点
卐	5 1 2 1
卑	白 3 十
卒	亠 人 人 十
卓	卢字头 早
協	十 力 力 力
单	丷 日 十
卖	卖字头 冬字底 大
南	十 冂 南字心
単	学字头 日 十
卙	其 5 十
博	十 甫 寸
卛	言 幺 横三点 幺 横三点 十
卜	卜
卝	2 1 卢字头
卞	亠 卜
卟	口 卜
占	卢字头 口
卡	卢字头 1 卜
卢	卢字头 尸
卣	卢字头 囗 叚右角
卤	卢字头 囗 乂
卥	卢字头 囗 横两撇 4
卦	土 土 卜
卧	臣 卜
卨	卢字头 见二 5 冂 口
卩	卩
卪	卩 4
卫	节字底 1
卬	卬字旁 卩
卭	工 卩
卮	反字框 1 㔾
卯	卯
印	卬字旁 1 卩
危	负字头 厂 㔾
卲	刀 口 卩
即	即字旁 卩
却	土 厶 卩
卵	卯 4 4
卶	夕 夕 卩
卷	龹 㔾
卸	卸字旁 卩
卹	3 皿 卩
卺	了 水字框 1 㔾
卻	谷 卩
卼	1 儿 负字头 厂 㔾
卽	白 匕 卩
卾	口 口 二 5 卩
卿	卬字旁 3 即字旁 卩
厀	木 全字头 氺 卩
厁	全字头 余字底 冬字底 十 节字底
厂	厂
厃	负字头 厂
厄	厂 㔾
厅	厂 丁
历	厂 力
厇	厂 3 七
厈	厂 干
厉	厂 1 万无横
厊	厂 牙
压	厂 土 4
厌	厂 犬
厍	厂 车
厎	厂 氏 4
厏	厂 乍
厐	厂 龙
厑	厂 口 匕
厒	厂 缶
厓	厂 土 土
厔	厂 至
厕	厂 贝 刂
厖	厂 尤 彡
厗	厂 辛
厘	厂 里
厙	厂 1 日 十
厚	厂 日 子
厛	厂 口 斤
厜	厂 垂
厝	厂 龷 日
厞	厂 非
原	厂 白 小
厠	厂 目 八 刂
厡	厂 白 水
厢	厂 木 目
厣	厂 犬 甲
厤	厂 禾 禾
厥	厂 䒑 䶹 欠
厦	厂 1 自 夂
厧	厂 十 具字头 八
厨	厂 同字心 䒑 寸
厩	厂 即字旁 旡
厪	厂 廿 口 龶
厫	厂 龶 万无横 攵
厬	厂 日 夂 卜 口
厭	厂 日 青字底 犬
厮	厂 其 斤
厯	厂 木 木 5 横两点
厰	厂 尚 攵
厱	厂 亼 口 口 人 人
厲	厂 艹 日 禺下
厳	学字头 厂 5 耳 攵
厴	厂 日 青字底 犬 甲
厵	厂 白 小 厂 白 小 厂 白 小
厶	厶
厷	左字框 厶
厸	厶 厶
厹	九 厶
厺	大 厶
去	土 厶
厼	厶 小
厽	厶 厶 厶
厾	5 土 厶
县	且 厶
叀	1 由 厶
叁	厶 大 三
参	厶 大 彡
參	厶 厶 厶 全字头 彡
叄	厶 厶 厶 全字头 三
叅	厶 厶 厶 全字头 恭字底
叆	云 爫 冖 左字框 又
叇	云 隶字框 率字腰 辶
又	又
叉	又 4
及	及
友	左字框 又
双	又 又
反	反字框 又
収	丩 又
叏	候右角 2 又
叐	3 左字框 又
发	发无又 又
叒	又 又 又
叓	同字心 2 又
叔	卢字头 1 小 又
叕	又 又 又 又
取	耳 又
受	爫 冖 又
变	亠 变字头无亠 又
叙	全字头 余字底 又
叚	叚字旁无二 二 叚右角 又
叛	丷 夫三 反字框 又
叜	宀 火 又
叝	土 厶 卩 又
叞	尸 示 又
叟	臼 2 又
叠	又 又 又 冖 且
叡	卢字头 冖 1 八 全字头 目 又
叢	业 南字心 耳 又
口	口
古	古
句	句
另	口 力
叧	口 刀
叨	口 刀
叩	口 卩
只	口 八
叫	口 丩
召	刀 口
叭	口 八
叮	口 丁
可	可
台	厶 口
叱	口 化字边
史	口 乂
右	左字框 口
叴	九 口
叵	匚 口
叶	口 十
号	口 1 5
司	5 同字心
叹	口 又
叺	口 入
叻	口 力
叼	口 5 1
叽	口 几
叾	了 口
叿	口 工
吀	口 千
吁	口 1 于无横
吂	亡 口
吃	口 卧人 6
各	各
吅	口 口
吆	口 幺
吇	口 子
合	亼 口
吉	士 口
吊	口 巾
吋	口 寸
同	冂 同字心
名	夕 口
后	反字框 1 口
吏	同字心 乂
吐	口 土
向	3 冂 口
吒	口 3 七
吓	口 1 卜
吔	口 也
吕	口 口
吖	口 丷 2
吗	口 马
吘	口 卧人 十
吙	口 火
吚	口 聿三 3
君	聿三 3 口
吜	口 5 里无日
吝	文 口
吞	1 大 口
吟	口 今
吠	口 犬
吡	口 比字旁 匕
吢	心 口
吣	口 心
吤	口 全字头 乔字底
吥	口 不
否	不 口
吧	口 巴
吨	口 1 屯无横
吩	口 八 刀
吪	口 亻 化字边
含	今 口
听	口 斤
吭	口 亠 几
吮	口 厶 儿
启	户 口
吰	口 左字框 厶
吱	口 支
吲	口 弓 2
吳	口 5 大
吴	口 1 大
吵	口 少三 3
吶	口 冂 入
吷	口 候右角 人
吸	口 及
吹	口 欠
吺	口 殳
吻	口 勿
吼	口 子 5
吽	口 牛
吾	五 口
吿	牛 口
呀	口 牙
呁	口 勹 冫
呂	口 囱字框
呃	口 厂 㔾
呄	乃 古
呅	口 文
呆	口 木
呇	水 口
呈	口 王
呉	口 5 1 八
告	告字头 口
呋	口 夫
呌	口 冬字底 十
呍	口 云
呎	口 尸 4
呏	口 3 廾
呐	口 冂 人
呑	3 大 口
呒	口 无
呓	口 艹 6
呔	口 大 4
呕	口 匚 乂
呖	口 厂 力
呗	口 贝
员	口 贝
呙	口 冂 人
呚	口 攵
呛	口 全字头 㔾
呜	口 乌
呝	口 户 6
呞	口 5 同字心
呟	口 亠 幺
呠	口 木 1
呡	口 民
呢	口 尸 匕
呣	口 母
呤	口 今 4
呥	口 冂 里无日
呦	口 幺 力
呧	口 氏 4
周	周字框 土 口
呩	口 示
呪	口 口 儿
呫	口 卢字头 口
呬	口 四
呭	口 廿 5
呮	口 口 八
呯	口 干 丷
呰	止 匕 口
呱	口 瓜
呲	口 止 匕
味	口 未
呴	口 句
呵	口 可
呶	口 女 又
呷	口 甲
呸	口 不 1
呹	口 3 夫
呺	口 口 1 5
呻	口 日 2
呼	口 3 丷 于无横
命	亼 口 卩
呾	口 日 1
呿	口 土 厶
咀	口 且
咁	口 甘
咂	口 匚 巾
咃	口 亻 也
咄	口 屮 凵
咅	立 口
咆	口 勹 巳
咇	口 心 3
咈	口 弗
咉	口 见二 大
咊	口 禾
咋	口 乍
和	和
咍	口 厶 口
咎	夂 卜 口
咏	口 4 永无点
咐	口 亻 寸
咑	口 扌 丁
咒	口 口 几
咓	口 瓦
咔	口 卢字头 1 卜
咕	口 古
咖	口 力 口
咗	口 左字框 工
咘	口 左字框 巾
咙	口 龙
咚	口 夂 冬字底
咛	口 宀 丁
咜	口 宀 匕
咝	口 纟 纟
咞	口 1 廾
咟	口 1 白
咠	口 耳
咡	口 耳
咢	口 口 二 5
咣	口 光
咤	口 宀 3 七
咥	口 至
咦	口 大框 弓
咧	口 歹 刂
咨	冫 欠 口
咩	口 羊
咪	口 米
咫	尸 4 口 八
咬	口 六 乂
咭	口 士 口
咮	口 3 未
咯	口 各
咰	口 勹 日
咱	口 自
咲	口 䒑 大
咳	口 亥
咴	口 左字框 火
咵	口 大 二 5
咶	口 舌
咷	口 儿 率字腰
咸	戊 同字心
咹	口 宀 女
咺	口 1 日 1
咻	口 亻 木
咼	见二 5 冂 口
咽	口 囗 大
咾	口 老
咿	口 亻 聿三 3
哀	享字头 衣省
品	口 口 口
哂	口 西
哃	口 冂 同字心
哄	口 共
哅	口 勹 乂 凵
哆	口 夕 夕
哇	口 土 土
哈	口 亼 口
哉	十 戈 口
哊	口 左字框 青字底
哋	口 土 也
哌	口 反字框 旅下角
响	口 3 冂 口
哎	口 艹 乂
哏	口 艮
哐	口 匚 王
哑	口 1 业
哒	口 大 辶
哓	口 尧字头 1 儿
哔	口 比字旁 匕 十
哕	口 山 夕
哖	口 卧人 年字底
哗	口 亻 化字边 十
哘	口 彳 亍
哙	口 全字头 云
哚	口 几 木
哛	口 匕 八 刀
哜	口 齐
哝	口 冖 衣省
哞	口 厶 牛
哟	口 纟 勹 4
哠	口 告字头 口
員	口 目 八
哢	口 王 廾
哣	口 同字心 䒑
哤	口 尤 彡
哥	可 可
哦	口 3 扌 戈
哧	口 土 亦字底
哨	口 尚字头 青字底
哩	口 里
哪	口 5 夫三 阝
哫	口 足
哬	口 亻 可
哭	口 口 犬
哮	口 耂 子
哯	口 目 儿
哰	口 宀 牛
哱	口 十 冖 子
哲	扌 斤 口
哳	口 扌 斤
哴	口 4 艮
哵	口 口 力 刂
哶	口 2 1 卢字头 干
哷	口 爫 寸
哸	口 爫 女
哹	口 爫 子
哺	口 甫
哻	口 日 干
哼	口 享字头 了
哽	口 1 日 乂
哾	口 丷 口 儿
哿	力 口 可
唀	口 禾 乃
唁	口 言
唂	口 谷
唃	口 负字头 用
唄	口 目 八
唅	口 今 口
唆	口 厶 傻下角
唇	辰 口
唈	口 口 巴
唉	口 厶 矢
唊	口 大 人 人
唋	口 全字头 余字底
唌	口 3 延字心无撇 廴
唍	口 宀 二 儿
唎	口 禾 刂
唏	口 乂 左字框 巾
唐	广 肀 口
唑	口 人 人 土
唒	口 酉
唓	口 1 日 十
唔	口 五 口
唕	口 白 十
唖	口 同字心 临字旁 1
唗	口 走
唘	石 又 口
唙	口 犭 火
唚	口 彐 冖 又
唛	口 龶 夂
唜	1 木 口 匕
唝	口 工 贝
唞	口 扌 冬字底 十
唟	土 厶 口 匕
唠	口 艹 冖 力
唡	口 两
唢	口 尚字头 贝
唣	口 白 七
唤	口 负字头 见二 大
唥	口 冫 今 4
唦	口 氵 少三 3
唧	口 即字旁 卩
唨	口 阝 且
唩	口 禾 女
唪	口 春字头 举字底
唫	口 金
唬	口 虎
唭	口 其
售	隹 口
唯	口 隹
唰	口 尸 巾 刂
唱	口 日 日
唲	口 臼 儿
唳	口 户 犬
唴	口 差字头 5
唵	口 大 日 5
唶	口 龷 日
唷	口 充字头 青字底
唸	口 今 心
唹	口 方 全字头 冬字底
唺	口 见二 龷 八
唻	口 木框 人 人
唼	口 立 女
唽	口 木 斤
唾	口 垂
唿	口 勿 心
啀	口 厂 土 土
啁	口 周字框 土 口
啂	口 爫 子 5
啃	口 止 青字底
啄	口 豕 4
啅	口 卢字头 早
商	立无横 冂 八 口
啇	立无横 冂 古
啈	口 土 南字心
啉	口 木 木
啊	口 阝 可
啋	口 爫 木
啌	口 穴 工
啍	口 享字头 子
啎	卧人 十 五 口
問	见二 二 冂 二 口
啐	口 亠 人 人 十
啑	口 1 聿三 龰
啒	口 尸 屮 凵
啓	户 攵 口
啔	户 戈 口
啕	口 勹 缶
啖	口 火 火
啗	口 负字头 臼
啘	口 宀 夕 㔾
啙	止 匕 口 口
啚	口 十 囗 口
啛	口 1 妻字头无横 女
啜	口 又 又 又 又
啝	口 和
啞	口 1 2 1 5 5 1 2 1
啟	户 口 攵
啠	斤 斤 口
啡	口 非
啢	口 1 巾 入 入
啣	口 卸字旁 卩
啤	口 白 3 十
啥	口 全字头 舍字底
啦	口 扌 立
啧	口 龶 贝
啨	口 龶 青字底
啩	口 土 土 卜
啪	口 扌 白
啫	口 者
啬	土 丷 囗 口
啭	口 车旁 专
啮	口 齿
啯	口 囗 斜玉 4
啰	口 罒 夕
啱	口 山 石
啲	口 白 勹 4
啳	口 龹 㔾
啴	口 丷 日 十
啵	口 氵 皮
啶	口 宀 定字底
啷	口 4 即字旁 阝
啸	口 肀 乔字底 八
啹	口 尸 古
啺	口 日 1 勿
啻	立无横 冖 巾 口
啼	口 立无横 冖 巾
啽	口 亼 口 廾
啾	口 禾 火
啿	口 其 5
喀	口 宀 各
喁	口 日 禺下
喂	口 田 1 畏字底
喃	口 十 冂 南字心
善	羊 䒑 口
喅	口 日 立
喆	士 口 士 口
喇	口 束 刂
喈	口 比字旁 匕 白
喉	口 亻 候右角 矢
喊	口 戊 同字心
喋	口 廿 5 木
喌	口 口 横三点 川
喍	口 止 匕 木
喎	口 见二 5 冂 口
喏	口 艹 左字框 口
喐	口 左字框 青字底 阝
喑	口 音
喒	口 夂 卜 日
喓	口 覀 女
喔	口 尸 至
喕	口 面
喖	口 木 古
喗	口 冖 1 日 十
喘	口 山 而
喙	口 彑 豕省
喚	口 负字头 见二 八 大
喛	口 爫 1 左字框 又
喜	壴 口
喝	口 日 勹 亾
喞	口 白 匕 卩
喟	口 田 青字底
喠	口 千 里
喡	口 候右角 2 口 㐄
喢	口 千 臼
喣	口 句 灬
喤	口 白 王
喥	口 广 廿 又
喦	口 口 口 山
喧	口 宀 1 日 1
喨	口 享字头 冖 几
喩	口 入 1 青字底 5 5
喪	土 口 口 畏字底
喫	口 丰 刀 大
喬	3 大 口 冂 口
喭	口 立无横 厂 彡
單	口 口 日 十
喯	口 大 十 廾
喰	口 食
喱	口 厂 里
喲	口 幺 横三点 勹 4
喳	口 木 日 1
喴	口 戊 1 女
喵	口 艹 田
営	学无子 口 口
喷	口 十 贲字腰 贝
喸	甫 口 匕
喹	口 大 土 土
喺	口 亻 3 糸
喻	口 亼 青字底 刂
喼	口 负字头 彐 心
喽	口 米 女
喾	学无子 告字头 口
喿	口 口 口 木
嗀	壳字头 1 口 殳
嗁	口 反字框 虎
嗂	口 爫 缶
嗃	口 高
嗄	口 1 自 夂
嗅	口 自 犬
嗆	口 全字头 4 尸 1 口
嗇	土 人 人 囗 口
嗈	口 巛 口 巴
嗉	口 龶 糸
嗊	口 工 目 八
嗋	口 力 力 力 青字底
嗌	口 益字头 皿
嗍	口 䒑 䶹 月
嗎	口 1 2 举字底 5 灬
嗏	口 艹 全字头 朩
嗐	口 宀 丰 口
嗑	口 土 厶 皿
嗒	口 艹 亼 口
嗓	口 又 又 又 木
嗔	口 十 具字头 八
嗕	口 辰 寸
嗖	口 臼 2 又
嗗	口 骨
嗘	口 爫 幺 大
嗙	口 立无横 冖 方
嗚	口 3 见二 二 5 灬
嗛	口 兼
嗜	口 老 日
嗝	口 鬲
嗞	口 䒑 幺 幺
嗟	口 差字头 工
嗠	爫 子 各
嗡	口 八 厶 羽
嗢	口 日 皿
嗣	口 扁字心 5 同字心
嗤	口 屮 1 虫
嗥	口 白 大 十
嗦	口 十 冖 糸
嗧	力 口 亼 扁字心
嗨	口 氵 卧人 母
嗩	口 尚字头 目 八
嗪	口 春字头 禾
嗫	口 耳 又 又
嗬	口 艹 亻 可
嗭	十 具字头 口 匕
嗮	口 日 西
嗯	口 囗 大 心
嗰	口 亻 囗 古
嗱	口 亼 口 手
嗲	口 八 乂 夕 夕
嗳	口 爫 冖 左字框 又
嗴	口 差字头 5 厶
嗵	口 龴 甬字底 辶
嗶	口 日 龷 十
嗷	口 龶 万无横 攵
嗸	龶 万无横 攵 口
嗹	口 1 日 十 辶
嗺	口 山 隹
嗻	口 广 廿 灬
嗼	口 艹 日 大
嗽	口 束 欠
嗾	口 方 卧人 矢
嗿	口 今 目 八
嘀	口 立无横 冂 古
嘁	口 戊 卢字头 1 小
嘂	口 口 丩 口 口
嘃	口 广 肀 青字底
嘄	口 3 见二 三 5 木
嘅	口 即字旁 旡
嘆	口 廿 口 夫
嘇	口 厶 厶 厶 全字头 彡
嘈	口 1 曲 日
嘉	壴 力 口
嘊	口 山 厂 土 土
嘋	口 耂 子 攵
嘌	口 覀 示
嘍	口 口 十 口 女
嘎	口 1 自 戈
嘏	古 叚字旁无二 二 叚右角 又
嘐	口 羽 全字头 彡
嘑	口 虍 3 丷 于无横
嘒	口 丰 丰 彐
嘓	口 囗 戈 口 1
嘔	口 匚 口 口 口
嘕	口 1 止 与无横 灬
嘖	口 龶 目 八
嘗	尚头 匕 日
嘘	口 虍 业
嘙	口 氵 皮 女
嘚	口 彳 日 1 寸
嘛	口 麻
嘜	口 木框 人 人 夂
嘝	口 负字头 用 冬字底 十
嘞	口 革 力
嘟	口 者 阝
嘠	口 1 3 见二 二 冖 戈
嘡	口 尚头 土
嘢	口 里 予
嘣	口 山 月 月
嘤	口 贝 贝 女
嘥	口 彳 止 龰
嘦	口 八 覀 女
嘧	口 宀 心 3 山
嘨	口 肀 乔字底 米
嘩	口 艹 1 贲字腰 举字底
嘪	口 罒 目 八
嘫	口 然左角 犬 灬
嘬	口 日 耳 又
嘭	口 壴 彡
嘮	口 火 火 冖 力
嘯	口 肀 乔字底 2 1 5 1 5 1 2
嘰	口 幺 幺 戈 人
嘱	口 尸 3 口 禺下
嘲	口 十 早 月
嘳	口 贵字头 目 八
嘴	口 止 匕 负字头 用
嘵	口 土 土 土 1 儿
嘶	口 其 斤
嘷	口 自 率字腰 十
嘸	口 舞字头 灬
嘹	口 大变 丷 日 小
嘺	口 3 大 口 冂 口
嘻	口 壴 口
嘼	口 口 田 同字心
嘽	口 口 口 日 十
嘾	口 覀 早
嘿	口 黑
噀	口 巳 巳 共
噁	口 1 2 1 5 5 1 2 1 心
噂	口 丷 酉 寸
噃	口 3 米 田
噄	口 丰 刀 糸
噅	口 爫 3 5 5 5 灬
噆	口 旡 旡 日
噇	口 立 里
噈	口 享字头 小 尤
噉	口 5 耳 攵
噊	口 予 3 冂 八 口
噋	口 享字头 子 攵
噌	口 丷 曾字头无丷 日
噍	口 隹 灬
噎	口 壳字头 同字心 䒑
噏	口 亼 口 羽
噐	口 口 工 口 口
噑	口 白 率字腰 十
噒	口 米 夕 㐄
噓	口 虍 临字旁 5 2 二
噔	口 癶 同字心 䒑
噕	爫 3 5 5 5 灬 口
噖	口 王 王 今
噗	口 业 养字头
噘	口 厂 䒑 䶹 欠
噙	口 全字头 亠 乂 凵 禸
噚	口 彐 工 口 寸
噛	口 止 米 凵
噜	口 鱼 日
噝	口 幺 横三点 糸
噞	口 亼 口 口 人 人
噟	广 亻 隹 口
噠	口 土 羊 辶
噡	口 负字头 厂 八 言
噢	口 3 冂 米 大
噣	口 罒 勹 虫
噤	口 木 木 示
噥	口 曲 辰
噦	口 止 戊 1 步字底
噧	口 艹 日 禺下
器	口 口 犬 口 口
噩	噩字框 口 口 口 口
噪	口 口 口 口 木
噫	口 音 心
噬	口 竹头 工 人 人
噭	口 白 方 攵
噮	口 罒 同字心 衣省
噯	口 爫 冖 心 夂
噰	口 亠 乡 隹
噱	口 虍 豕
噲	口 亼 曾字头无丷 日
噳	口 虍 口 1 大
噴	口 十 贲字腰 目 八
噵	䒑 自 辶 口
噶	口 艹 日 勹 亾
噷	口 音 欠
噸	口 1 屯无横 1 3 目 八
噹	口 尚头 田
噺	口 立 朩 斤
噻	口 宀 寒字腰带八 土
噼	口 尸 口 辛
噽	壴 口 不 1
噾	口 穴 音
噿	口 羽 亠 人 人 十
嚀	口 宀 心 皿 丁
嚁	口 羽 隹
嚂	口 臣 临右角 皿
嚃	口 罒 鳏下角 辶
嚄	口 艹 隹 又
嚅	口 雨头 而
嚆	口 艹 高
嚇	口 土 亦字底 土 亦字底
嚈	口 厂 日 青字底 犬
嚉	口 业 美字头 寸
嚊	口 自 田 丌
嚋	口 士 5 工 1 口 寸
嚌	口 亠 丷 2 刀 卬字旁 4 乔字底 二
嚍	口 肀 1 皿
嚎	口 享字头 冖 豕
嚏	口 十 冖 田 疋
嚐	口 尚头 匕 日
嚑	口 千 黑
嚒	口 麻 幺
嚓	口 宀 祭字头 示
嚔	口 十 冖 田 厶 龰
嚕	口 负字头 田 灬 日
嚖	口 丰 丰 彐 心
嚗	口 日 共 氺
嚘	口 1 3 见二 二 冖 心 夂
嚙	口 止 人 人 1 人 人 凵
嚚	口 口 臣 口 口
嚛	口 白 幺 幺 木
嚜	口 黑 土
嚝	口 广 龷 由 八
嚞	士 口 士 口 士 口
嚟	口 禾 黎右角 全字头 氺
嚠	口 留字头 金 刂
嚡	口 革 土 土
嚢	同字心 2 冖 八 1 龷 衣省
嚣	口 口 页 口 口
嚤	口 麻 手
嚥	口 廿 口 北字旁 匕 灬
嚦	口 厂 禾 禾 止
嚧	口 虍 田 皿
嚨	口 立 青字底 1 5 1 5 三
嚩	口 幺 横三点 甫 寸
嚪	口 见二 二 冂 二 负字头 臼
嚫	口 立 朩 目 儿
嚬	口 止 步字底 1 3 目 八
嚭	壴 口 不 口
嚮	乡 4 即字旁 阝 3 冂 口
嚯	口 雨头 隹
嚰	口 麻 石
嚱	口 虍 同字心 䒑 戈
嚲	享字头 子 口 口 日 十
嚳	臼裂 乂 乂 冖 告字头 口
嚴	口 口 厂 5 耳 攵
嚵	口 负字头 口 比字旁 匕 兔
嚶	口 目 八 目 八 女
嚷	口 亠 口 口 1 龷 衣省
嚸	口 黑 卢字头 口
嚹	口 缶 虍 3 丷 于无横
嚺	口 罒 䒑 豕省 辶
嚻	口 口 1 3 目 八 口 口
嚼	口 爫 罒 即字旁 寸
嚽	口 龶 万无横 攵 目 八
嚾	口 艹 口 口 隹
嚿	口 艹 隹 臼
囀	口 1 日 十 1 日 虫无口 寸
囁	口 耳 耳 耳
囂	口 口 1 3 目 八 口 口
囃	口 亠 人 人 朩 隹
囄	口 亠 乂 凵 禸 隹
囅	口 口 日 十 尸 龷 畏字底
囆	口 艹 日 禺下 虫
囇	口 1 丽下角 1 丽下角 鹿
囈	口 艹 土 八 土 丸 云
囉	口 罒 幺 横三点 隹
囊	同字心 2 冖 口 口 1 龷 衣省
囋	口 告字头 儿 告字头 儿 目 八
囌	口 艹 负字头 田 灬 禾
囍	壴 口 壴 口
囎	口 目 八 丷 曾字头无丷 日
囏	廿 口 夫 壴 口
囐	口 虍 鬲 犬
囑	口 尸 氺 罒 勹 虫
囒	口 艹 见二 二 冂 二 束 丷
囓	口 丰 刀 止 人 人 1 人 人 凵
囔	口 同字心 2 冖 口 口 1 龷 衣省
囕	口 臣 临右角 罒 目 儿
囖	口 竹头 罒 幺 横三点 隹
囗	囗
囘	冂 巳
囙	囗 叚右角
囚	囗 人
四	四
囜	囗 厶
囝	囗 子
回	囗 口
囟	囱字框 乂
因	囗 大
囡	囗 女
团	囗 于无横 3
団	囗 寸
囤	囗 1 屯无横
囥	囗 亠 几
囦	囗 水
囧	囗 八 见二
囨	囗 不
囩	囗 云
囪	囱字框 横两撇 4
囫	囗 勿
囬	罒 二
园	囗 二 儿
囮	囗 亻 化字边
囯	囗 王
困	囗 木
囱	囱字框 夂
囲	囗 井
図	囗 冬字底 乂
围	囗 韦
囵	囗 全字头 匕
囶	囗 八 土
囷	囗 禾
囸	囗 1 止
囹	囗 今 4
固	囗 古
囻	囗 民
囼	囗 厶 口
国	囗 斜玉 4
图	囗 夂 冬字底
囿	囗 左字框 青字底
圀	囗 八 方
圁	囗 言
圂	囗 豕
圃	囗 甫
圄	囗 五 口
